a	aː
næturvaktin	n aiː t ʏ r v a x t ɪ n
næturvörðurinn	n aiː t ʏ r v œ r ð ʏ r ɪ n
næturþeli	n aiː t ʏ r θ ɛː l ɪ
næði	n aiː ð ɪ
næðis	n aiː ð ɪ s
næðist	n aiː ð ɪ s t
næðu	n aiː ð ʏ
næðum	n aiː ð ʏ m
næðust	n aiː ð ʏ s t
né	n j ɛː
níels	n iː j ɛ l s
nígeríu	n iː k ɛ r i j ʏ
níkíta	n i c iː t a
nína	n iː n a
nínu	n iː n ʏ
níræð	n iː r ai ð
níræðisaldri	n iː r ai ð ɪ s a l t r ɪ
níræður	n iː r ai ð ʏ r
nísk	n i s k
nískur	n i s k ʏ r
nísta	n i s t a
nístandi	n i s t a n t ɪ
nístir	n i s t ɪ r
nítján	n iː t j au n
nítjánda	n iː t j au n t a
nítjándi	n iː t j au n t ɪ
nítjándu	n iː t j au n t ʏ
nítugasta	n iː t ʏ ɣ a s t a
nítugasti	n iː t ʏ ɣ a s t ɪ
nítugustu	n iː t ʏ ɣ ʏ s t ʏ
nóa	n ouː a
nóatúns	n ouː a t u n s
nóg	n ouː
nóga	n ouː a
nógan	n ouː a n
nógu	n ouː ʏ
nógur	n ouː ʏ r
nói	n ouː ɪ
nóra	n ouː r a
nóta	n ouː t a
nótt	n ou h t
nóttin	n ou h t ɪ n
nóttu	n ou h t ʏ
nóttum	n ou h t ʏ m
nóttunni	n ou h t ʏ n ɪ
nótu	n ouː t ʏ
nótum	n ouː t ʏ m
nótuna	n ouː t ʏ n a
nótunum	n ouː t ɔ n ʏ m
nótur	n ouː t ʏ r
nóturnar	n ouː t ʏ t n a r
nóvember	n ouː v ɛ m p ɛ r
nöf	n œː v
nöfn	n œ p n̥
nöfnin	n œ p n ɪ n
nöfnu	n œ p n ʏ
nöfnum	n œ p n ʏ m
nögl	n œ k l̥
nöglinni	n œ k l ɪ n ɪ
nöglum	n œ k l ʏ m
nöguðu	n œː ɣ ʏ ð ʏ
nökkvavogi	n œ h k v a v ɔi j ɪ
nökkvi	n œ h k v ɪ
nöktu	n œ x t ʏ
nöldra	n œ l t r a
nöldraði	n œ l t r a ð ɪ
nöldur	n œ l t ʏ r
nönnu	n œ n ʏ
nöpru	n œː p r ʏ
nöpur	n œː p ʏ r
nösina	n œː s ɪ n a
nösinni	n œː s ɪ n ɪ
nösum	n œː s ʏ m
nösunum	n œː s ɔ n ʏ m
nötra	n œː t r a
nötrandi	n œː t r a n t ɪ
nötraði	n œː t r a ð ɪ
nötruðu	n œː t r ʏ ð ʏ
nú	n uː
núa	n uː a
núgildandi	n uː c ɪ l t a n t ɪ
núið	n uː ɪ ð
nújá	n uː j au
núlifandi	n uː l ɪ v a n t ɪ
núll	n u l
núlli	n u l ɪ
númer	n uː m ɛ r
númerabirti	n uː m ɛ r a p ɪ r̥ t ɪ
númeri	n uː m ɛ r ɪ
númerin	n uː m ɛ r ɪ n
númerinu	n uː m ɛ r ɪ n ʏ
númerið	n uː m ɛ r ɪ ð
númerum	n uː m ɛ r ʏ m
númi	n uː m ɪ
núna	n uː n a
núnú	n uː n u
núorðið	n uː ɔ r ð ɪ ð
núpi	n uː p ɪ
nútildags	n uː t ɪ l t a x s
nútíma	n uː t i m a
nútímann	n uː t i m a n
nútímans	n uː t i m a n s
nútímanum	n uː t i m a n ʏ m
nútíminn	n uː t i m ɪ n
nútíð	n uː t i ð
núverandi	n uː v ɛ r a n t ɪ
núvirði	n uː v ɪ r ð ɪ
ný	n iː
nýafstöðnu	n iː j a f s t œ ð n ʏ
nýbakaðar	n iː p a k a ð a r
nýbyggingum	n iː p ɪ c i ŋ k ʏ m
nýbyrjaður	n iː p ɪ r j a ð ʏ r
nýbúinn	n iː p u ɪ n
nýfarinn	n iː f a r ɪ n
nýfundnaland	n iː f ʏ n t n a l a n t
nýfundnalandi	n iː f ʏ n t n a l a n t ɪ
nýfundnalands	n iː f ʏ n t n a l a n t s
nýfundnalandshundurinn	n iː f ʏ n t n a l a n t s h ʏ n t ʏ r ɪ n
nýfædd	n iː f ai t
nýfæddu	n iː f ai t ʏ
nýfæddum	n iː f ai t ʏ m
nýfætt	n iː f ai h t
nýherja	n iː h ɛ r j a
nýherji	n iː h ɛ r j ɪ
nýi	n iː j ɪ
nýir	n iː j ɪ r
nýja	n iː j a
nýjabæ	n iː j a p ai
nýjan	n iː j a n
nýjar	n iː j a r
nýjasta	n iː j a s t a
nýjasti	n iː j a s t ɪ
nýju	n iː j ʏ
nýjum	n iː j ʏ m
nýjung	n iː j u ŋ k
nýjunga	n iː j u ŋ k a
nýjungar	n iː j u ŋ k a r
nýjungum	n iː j u ŋ k ʏ m
nýjustu	n iː j ʏ s t ʏ
nýkaupi	n iː k œy p ɪ
nýkaups	n iː k œy p s
nýkomnu	n iː k ɔ m n ʏ
nýlegum	n iː l ɛ ɣ ʏ m
nýlistasafninu	n iː l ɪ s t a s a p n ɪ n ʏ
nýlistasafnsins	n iː l ɪ s t a s a p s ɪ n s
nýliðinn	n iː l ɪ ð ɪ n
nýliðinnar	n iː l ɪ ð ɪ n a r
nýliðinni	n iː l ɪ ð ɪ n ɪ
nýliðnum	n iː l ɪ ð n ʏ m
nýliðun	n iː l ɪ ð ʏ n
nýlokið	n iː l ɔ c ɪ ð
nýlunda	n iː l ʏ n t a
nýorðin	n iː j ɔ r ð ɪ n
nýorðinn	n iː j ɔ r ð ɪ n
nýr	n iː r
nýrnasjúkra	n i r t n a s j uː k r a
nýrnastein	n i r t n a s t eiː n
nýrra	n i r a
nýrrar	n i r a r
nýrri	n i r ɪ
nýrun	n iː r ʏ n
nýs	n iː s
nýsköpunar	n iː s k œ p ʏ n a r
nýsloppinn	n iː s t l ɔ h p ɪ n
nýst	n i s t
nýstofnaða	n iː s t ɔ p n a ð a
nýstárleg	n iː s t au r l ɛ ɣ
nýstárlega	n iː s t au r l ɛ ɣ a
nýstárlegt	n iː s t au r l ɛ x t
nýta	n iː t a
nýtan	n iː t a n
nýtast	n iː t a s t
nýting	n iː t i ŋ k
nýtingar	n iː t i ŋ k a r
nýtingin	n iː t i ɲ c ɪ n
nýtingu	n iː t i ŋ k ʏ
nýtir	n i t ɪ r
nýtist	n iː t ɪ s t
nýtti	n i h t ɪ
nýttir	n i h t ɪ r
nýttist	n i h t ɪ s t
nýttu	n i h t ʏ
nýttum	n i h t ʏ m
nýttur	n i h t ʏ r
nýttust	n i h t ʏ s t
nýtum	n iː t ʏ m
nýtur	n iː t ʏ r
nývaknaður	n iː v a h k n a ð ʏ r
nýárs	n iː j au r̥ s
nýútkominni	n iː j u t k ɔː m ɪ n ɪ
nýútkomna	n iː j u t k ɔ m n a
o	ɔː
obb	ɔ p
obbann	ɔ p a n
obbinn	ɔ p ɪ n
odd	ɔ t
odda	ɔ t a
oddeyri	ɔ t ei r ɪ
oddgeir	ɔ t c ei r
oddgeirsbæ	ɔ t c ei r̥ s p aiː
oddi	ɔ t ɪ
oddinn	ɔ t ɪ n
oddný	ɔ t n i
oddnýju	ɔ t n i j ʏ
odds	ɔ t s
oddu	ɔ t ʏ
oddur	ɔ t ʏ r
oddvita	ɔ t v ɪ t a
oddviti	ɔ t v ɪ t ɪ
of	ɔː v
ofan	ɔː v a n
ofanaf	ɔː v a n aː v
ofansleglatakttruflana	ɔː v a n s t l ɛ k l a tʰ a x t r ʏ p l a n a
ofanverðri	ɔː v a n v ɛ r ð r ɪ
ofaná	ɔː v a n auː
ofaní	ɔː v a n iː
ofar	ɔː v a r
ofarlega	ɔː v a r l ɛ ɣ a
ofaukið	ɔː v œy c ɪ ð
ofbauð	ɔ v p œy ð
ofbeldi	ɔ v p ɛ l t ɪ
ofbeldinu	ɔ v p ɛ l t ɪ n ʏ
ofbeldis	ɔ v p ɛ l t ɪ s
ofbeldisfulli	ɔ v p ɛ l t ɪ s f ʏ t l ɪ
ofbeldisfullur	ɔ v p ɛ l t ɪ s f ʏ t l ʏ r
ofbeldið	ɔ v p ɛ l t ɪ ð
ofboð	ɔ v p ɔ ð
ofboðið	ɔ v p ɔ ð ɪ ð
ofboðsleg	ɔ v p ɔ ð s t l ɛ ɣ
ofboðslega	ɔ v p ɔ ð s t l ɛ ɣ a
ofboðslegur	ɔ v p ɔ ð s t l ɛ ɣ ʏ r
ofdekraðra	ɔ v t ɛ k r a ð r a
off	ɔ f
offari	ɔ f a r ɪ
offita	ɔ f ɪ t a
offitu	ɔ f ɪ t ʏ
offjár	ɔ f j au r
offjárfesting	ɔ f j au r̥ f ɛ s t i ŋ k
offorshaldinn	ɔ f ɔ r̥ s h a l t ɪ n
offorsi	ɔ f ɔ r̥ s ɪ
offsett	ɔ f s ɛ h t
offylli	ɔ f ɪ t l ɪ
ofhitna	ɔː f h ɪ h t n a
ofin	ɔː v ɪ n
ofinn	ɔː v ɪ n
ofið	ɔː v ɪ ð
ofjarl	ɔ v j a r t l̥
oflof	ɔ v l ɔ v
oflæti	ɔ v l ai t ɪ
ofmetið	ɔ v m ɛ t ɪ ð
ofmælt	ɔ v m ai l̥ t
ofn	ɔ p n̥
ofna	ɔ p n a
ofnana	ɔ p n a n a
ofnar	ɔ p n a r
ofni	ɔ p n ɪ
ofninn	ɔ p n ɪ n
ofninum	ɔ p n ɪ n ʏ m
ofnotkun	ɔ v n ɔ t k ʏ n
ofnskúffu	ɔ p s k u f ʏ
ofnum	ɔ p n ʏ m
ofnunum	ɔ p n ɔ n ʏ m
ofnæmi	ɔ v n ai m ɪ
ofnæmis	ɔ v n ai m ɪ s
ofríki	ɔ v r i c ɪ
ofsa	ɔ f s a
ofsafenginni	ɔ f s a f ei ɲ c ɪ n ɪ
ofsafengið	ɔ f s a f ei ɲ c ɪ ð
ofsafengna	ɔ f s a f ei ŋ n a
ofsafengnar	ɔ f s a f ei ŋ n a r
ofsafengnum	ɔ f s a f ei ŋ n ʏ m
ofsagt	ɔ f s a x t
ofsi	ɔ f s ɪ
ofsjónir	ɔ f s j ou n ɪ r
ofskammtar	ɔ f s k a m̥ t a r
ofskynjanir	ɔ f s c ɪ n j a n ɪ r
ofsoðnu	ɔ f s ɔ ð n ʏ
ofstopa	ɔ f s t ɔ p a
ofstæki	ɔ f s t ai c ɪ
ofsækja	ɔ f s ai c a
ofsóknir	ɔ f s ou h k n ɪ r
ofsögum	ɔ f s œ ɣ ʏ m
oft	ɔ f t
oftar	ɔ f t a r
oftast	ɔ f t a s t
oftlega	ɔ f t l ɛ ɣ a
oftsinnis	ɔ f t s ɪ n ɪ s
ofur	ɔː v ʏ r
ofurdiskurinn	ɔː v ʏ r̥ t ɪ s k ʏ r ɪ n
ofurhjólreiðar	ɔː v ʏ r ç ou l r ei ð a r
ofurlágt	ɔː v ʏ r l au h t
ofurskjaldbökurnar	ɔː v ʏ r̥ s c a l t p œ k ʏ t n a r
ofursta	ɔː v ʏ r̥ s t a
ofurstans	ɔː f ʏ r̥ s t a n s
ofursti	ɔː v ʏ r̥ s t ɪ
ofurstinn	ɔː v ʏ r̥ s t ɪ n
ofursvala	ɔː v ʏ r̥ s v aː l a
ofvaxið	ɔ v a k s ɪ ð
ofvirkni	ɔ v ɪ r̥ k n ɪ
ofviða	ɔ v ɪ ð a
ofvæni	ɔ v ai n ɪ
ofáti	ɔː v au t ɪ
ofþenslu	ɔ f θ ɛ n s t l ʏ
og	ɔː ɣ
oj	ɔi j
ojbarasta	ɔ j p a r a s t a
oki	ɔː c ɪ
okkar	ɔ h k a r
okkur	ɔ h k ʏ r
okt	ɔ x t
oktana	ɔ x t a n a
október	ɔ x t ou p ɛ r
októberkvöld	ɔ x t ou p ɛ r k v œ l t
okur	ɔː k ʏ r
okurbúllu	ɔː k ʏ r p u l ʏ
olga	ɔ l k a
olli	ɔ l ɪ
ollu	ɔ l ʏ
olnbogana	ɔ l p ɔ ɣ a n a
olnbogann	ɔ l p ɔ ɣ a n
olnboganum	ɔ l p ɔ ɣ a n ʏ m
olnbogar	ɔ l p ɔ ɣ a r
olnboginn	ɔ l p ɔi j ɪ n
olnbogum	ɔ l p ɔ ɣ ʏ m
olnbogunum	ɔ l p ɔ ɣ ɔ n ʏ m
olsen	ou l s ɛ n
olsson	ou l s ɔ n
oltið	ɔ l̥ t ɪ ð
olía	ɔː l i j a
olían	ɔː l i j a n
olís	ɔː l i s
olíu	ɔː l i j ʏ
olíubaða	ɔː l i j ʏ p aː ð a
olíulampanum	ɔː l i j ʏ l a m̥ p a n ʏ m
olíuna	ɔː l i j ʏ n a
olíunni	ɔː l i j ʏ n ɪ
olíutunnum	ɔː l i j ʏː t ʏ n ʏ m
oná	ɔː n au
oní	ɔː n i
op	ɔː p
opin	ɔː p ɪ n
opinberan	ɔː p ɪ n p ɛː r a n
opinberar	ɔː p ɪ n p ɛː r a r
opinberaði	ɔː p ɪ n p ɛː r a ð ɪ
opinberir	ɔː p ɪ n p ɛː r ɪ r
opinberlega	ɔː p ɪ n p ɛ r l ɛ ɣ a
opinberra	ɔː p ɪ n p ɛ r a
opinberrar	ɔː p ɪ n p ɛ r a r
opinberri	ɔː p ɪ n p ɛ r ɪ
opinbers	ɔː p ɪ n p ɛ r̥ s
opinbert	ɔː p ɪ n p ɛ r̥ t
opinberu	ɔː p ɪ n p ɛː r ʏ
opinberum	ɔː p ɪ n p ɛː r ʏ m
opinberun	ɔː p ɪ n p ɛː r ʏ n
opinmynntur	ɔː p ɪ n m ɪ n̥ t ʏ r
opinn	ɔː p ɪ n
opinna	ɔː p ɪ n a
opinni	ɔː p ɪ n ɪ
opins	ɔː p ɪ n s
opinskáir	ɔː p ɪ n s k auː ɪ r
opinskár	ɔː p ɪ n s k auː r
opinskárt	ɔː p ɪ n s k au r̥ t
opinskátt	ɔː p ɪ n s k au h t
opinu	ɔː p ɪ n ʏ
opið	ɔː p ɪ ð
opna	ɔ h p n a
opnar	ɔ h p n a r
opnara	ɔ h p n a r a
opnari	ɔ h p n a r ɪ
opnast	ɔ h p n a s t
opnað	ɔ h p n a ð
opnaðar	ɔ h p n a ð a r
opnaði	ɔ h p n a ð ɪ
opnaðir	ɔ h p n a ð ɪ r
opnaðist	ɔ h p n a ð ɪ s t
opnaður	ɔ h p n a ð ʏ r
opni	ɔ h p n ɪ
opnir	ɔ h p n ɪ r
opnist	ɔ h p n ɪ s t
opnið	ɔ h p n ɪ ð
opnu	ɔ h p n ʏ
opnum	ɔ h p n ʏ m
opnun	ɔ h p n ʏ n
opnunar	ɔ h p n ʏ n a r
opnunarfagnaður	ɔ h p n ʏ n a r f a k n a ð ʏ r
opnunarfyrirlesturinn	ɔ h p n ʏ n a r f ɪː r ɪ r l ɛ s t ʏ r ɪ n
opnunina	ɔ h p n ʏ n ɪ n a
opnuð	ɔ h p n ʏ ð
opnuðu	ɔ h p n ʏ ð ʏ
opnuðum	ɔ h p n ʏ ð ʏ m
opnuðust	ɔ h p n ʏ ð ʏ s t
orfhnakki	ɔ r v n̥ a h c ɪ
orfi	ɔ r v ɪ
org	ɔ r k
orga	ɔ r k a
organdi	ɔ r k a n t ɪ
organista	ɔ r k a n ɪ s t a
organistans	ɔ r k a n ɪ s t a n s
organisti	ɔ r k a n ɪ s t ɪ
organistinn	ɔ r k a n ɪ s t ɪ n
organleikari	ɔ r k a n l eiː k a r ɪ
orgel	ɔ r k ɛ l
orgelinu	ɔ r k ɛ l ɪ n ʏ
orgelið	ɔ r k ɛ l ɪ ð
orginalinn	ɔ r c ɪ n a l ɪ n
orka	ɔ r̥ k a
orkaflokkar	ɔ r̥ k a f l ɔ h k a r
orkan	ɔ r̥ k a n
orkar	ɔ r̥ k a r
orkaði	ɔ r̥ k a ð ɪ
orku	ɔ r̥ k ʏ
orkuna	ɔ r̥ k ʏ n a
orkunnar	ɔ r̥ k ʏ n a r
orkutromp	ɔ r̥ k ʏ tʰ r ɔ m̥ p
orkuveitu	ɔ r̥ k ʏ v eiː t ʏ
orkuveitunnar	ɔ r̥ k ʏ v eiː t ʏ n a r
orkuveitunni	ɔ r̥ k ʏ v eiː t ʏ n ɪ
orkuðu	ɔ r̥ k ʏ ð ʏ
orlof	ɔ r l ɔ v
orlofi	ɔ r l ɔ v ɪ
orlofs	ɔ r l ɔ f s
orma	ɔ r m a
ormar	ɔ r m a r
ormarnir	ɔ r m a t n ɪ r
ormsson	ɔ r m s ɔ n
ormssonar	ɔ r m s ɔ n a r
ormstunga	ɔ r m s t u ŋ k a
ormstungu	ɔ r m s t u ŋ k ʏ
ormur	ɔ r m ʏ r
ormurinn	ɔ r m ʏ r ɪ n
orra	ɔ r a
orrahvolpur	ɔ r a kʰ v ɔ l̥ p ʏ r
orri	ɔ r ɪ
orrusta	ɔː r ʏ s t a
orrustan	ɔː r ʏ s t a n
orrustu	ɔː r ʏ s t ʏ
orrustunni	ɔː r ʏ s t ʏ n ɪ
orsaka	ɔ r̥ s a k a
orsakar	ɔ r̥ s a k a r
orsakast	ɔ r̥ s a k a s t
orsakað	ɔ r̥ s a k a ð
orsakaði	ɔ r̥ s a k a ð ɪ
orsakir	ɔ r̥ s a c ɪ r
orsök	ɔ r̥ s œ k
orsökin	ɔ r̥ s œ c ɪ n
orsökum	ɔ r̥ s œ k ʏ m
ort	ɔ r̥ t
orti	ɔ r̥ t ɪ
ortu	ɔ r̥ t ʏ
orð	ɔ r ð
orða	ɔ r ð a
orðabókina	ɔ r ð a p ouː c ɪ n a
orðabókinni	ɔ r ð a p ouː c ɪ n ɪ
orðaflaumi	ɔ r ð a f l œyː m ɪ
orðanna	ɔ r ð a n a
orðar	ɔ r ð a r
orðasafnsskrárnar	ɔ r ð a s a p s k r au t n a r
orðaskiptin	ɔ r ð a s c ɪ f t ɪ n
orðaskránni	ɔ r ð a s k r au n ɪ
orðavalið	ɔ r ð a v aː l ɪ ð
orðað	ɔ r ð a ð
orðaði	ɔ r ð a ð ɪ
orðaður	ɔ r ð a ð ʏ r
orðbragðið	ɔ r ð p r a ɣ ð ɪ ð
orðheppinn	ɔ r ð h ɛ h p ɪ n
orði	ɔ r ð ɪ
orðin	ɔ r ð ɪ n
orðinn	ɔ r ð ɪ n
orðinu	ɔ r ð ɪ n ʏ
orðið	ɔ r ð ɪ ð
orðlengja	ɔ r ð l ei ɲ c a
orðróm	ɔ r ð r ou m
orðrómi	ɔ r ð r ou m ɪ
orðrómurinn	ɔ r ð r ou m ʏ r ɪ n
orðs	ɔ r ð s
orðsins	ɔ r ð s ɪ n s
orðstír	ɔ r ð s t i r
orðu	ɔ r ð ʏ
orðum	ɔ r ð ʏ m
orðunum	ɔ r ð ɔ n ʏ m
orðuð	ɔ r ð ʏ ð
osló	ɔ s t l ou
oss	ɔ s
ost	ɔ s t
osta	ɔ s t a
ostafondú	ɔ s t a f ɔ n t u
ostar	ɔ s t a r
ostaryks	ɔ s t a r ɪː k s
osti	ɔ s t ɪ
ostinn	ɔ s t ɪ n
ostinum	ɔ s t ɪ n ʏ m
osts	ɔ s t s
ostur	ɔ s t ʏ r
otar	ɔː t a r
otaði	ɔː t a ð ɪ
otkell	ɔː t cʰ ɛ t l̥
ottesen	ɔ h t ɛ s ɛː n
otto	ɔ h t ou
oxford	ɔ k s f ɔ r t
oxun	ɔ k s ʏ n
pabba	pʰ a p a
pabbar	pʰ a p a r
pabbarnir	pʰ a p a t n ɪ r
pabbi	pʰ a p ɪ
pabbinn	pʰ a p ɪ n
padda	pʰ a t a
pakistan	pʰ aː c ɪ s t a n
pakistana	pʰ aː c ɪ s t a n a
pakistanar	pʰ aː c ɪ s t a n a r
pakistans	pʰ aː c ɪ s t a n s
pakistanska	pʰ aː c ɪ s t a n s k a
pakk	pʰ a h k
pakka	pʰ a h k a
pakkana	pʰ a h k a n a
pakkann	pʰ a h k a n
pakkanum	pʰ a h k a n ʏ m
pakkar	pʰ a h k a r
pakkað	pʰ a h k a ð
pakkaðirðu	pʰ a h k a ð ɪ r ʏ
pakkhúsið	pʰ a h k h u s ɪ ð
pakki	pʰ a h c ɪ
pakkinn	pʰ a h c ɪ n
pakkið	pʰ a h c ɪ ð
palestína	pʰ aː l ɛ s t i n a
palestínsk	pʰ aː l ɛ s t i n s k
palestínska	pʰ aː l ɛ s t i n s k a
palestínskir	pʰ aː l ɛ s t i n s c ɪ r
palestínskra	pʰ aː l ɛ s t i n s k r a
palestínsku	pʰ aː l ɛ s t i n s k ʏ
palestínskum	pʰ aː l ɛ s t i n s k ʏ m
palestínu	pʰ aː l ɛ s t i n ʏ
pall	pʰ a t l̥
palla	pʰ a l a
pallar	pʰ a t l a r
pallborðið	pʰ a t l̥ p ɔ r ð ɪ ð
pallborðsumræðum	pʰ a t l̥ p ɔ r ð s ʏ m r ai ð ʏ m
pallborðsumræður	pʰ a t l̥ p ɔ r ð s ʏ m r ai ð ʏ r
pallbíl	pʰ a t l̥ p i l
pallbílinn	pʰ a t l̥ p i l ɪ n
pallhýsi	pʰ a t l̥ h iː s ɪ
palli	pʰ a l ɪ
pallinn	pʰ a t l ɪ n
pallinum	pʰ a t l ɪ n ʏ m
pamela	pʰ aː m ɛ l a
pamfíll	pʰ a m f i t l̥
panama	pʰ aː n a m a
panamabúar	pʰ aː n a m a p uː a r
pandan	pʰ a n t a n
panellinn	pʰ aː n ɛ t l ɪ n
panna	pʰ a n a
pannan	pʰ a n a n
panta	pʰ a n̥ t a
pantanir	pʰ a n̥ t a n ɪ r
pantar	pʰ a n̥ t a r
pantað	pʰ a n̥ t a ð
pantaði	pʰ a n̥ t a ð ɪ
papa	pʰ aː p a
papar	pʰ aː p a r
pappa	pʰ a h p a
pappamöppum	pʰ a h p a m œ h p ʏ m
pappíra	pʰ a h p i r a
pappírar	pʰ a h p i r a r
pappírinn	pʰ a h p i r ɪ n
pappírnum	pʰ a h p i r t n ʏ m
pappírsbunki	pʰ a h p i r s p u ɲ̊ c ɪ
pappírssnifsi	pʰ a h p i r̥ s t n ɪ f s ɪ
pappírunum	pʰ a h p i r ɔ n ʏ m
paprika	pʰ aː p r ɪ k a
papriku	pʰ aː p r ɪ k ʏ
paprikur	pʰ aː p r ɪ k ʏ r
papír	pʰ aː p i r
par	pʰ aː r
para	pʰ aː r a
paradísar	pʰ aː r a t i s a r
paradísarheimt	pʰ aː r a t i s a r h ei m̥ t
paragvæ	pʰ aː r a k v ai
pardus	pʰ a r t ʏ s
pardusinn	pʰ a r t ʏ s ɪ n
parhús	pʰ aː r h u s
pari	pʰ aː r ɪ
parinu	pʰ aː r ɪ n ʏ
parið	pʰ aː r ɪ ð
parket	pʰ a r̥ k ɛ t
parketi	pʰ a r̥ k ɛ t ɪ
parkinson	pʰ a r̥ c ɪ n s ɔ n
parkinsonsamtökin	pʰ a r̥ c ɪ n s ɔ n s a m t œ c ɪ n
parma	pʰ a r m a
part	pʰ a r̥ t
parta	pʰ a r̥ t a
partasöluna	pʰ a r̥ t a s œː l ʏ n a
parti	pʰ a r̥ t ɪ
partíi	pʰ a r̥ t i j ɪ
partíinu	pʰ a r̥ t i j ɪ n ʏ
partíið	pʰ a r̥ t i j ɪ ð
partý	pʰ a r̥ t i
pass	pʰ a s
passa	pʰ a s a
passann	pʰ a s a n
passar	pʰ a s a r
passað	pʰ a s a ð
passaði	pʰ a s a ð ɪ
passaðir	pʰ a s a ð ɪ r
passaðu	pʰ a s a ð ʏ
passi	pʰ a s ɪ
passíusálma	pʰ a s i j ʏ s au l m a
pasta	pʰ a s t a
pasturslitlar	pʰ a s t ʏ r̥ s t l ɪ h t l a r
pat	pʰ aː t
pata	pʰ aː t a
pati	pʰ aː t ɪ
patreki	pʰ aː t r ɛ c ɪ
patreks	pʰ aː t r ɛ k s
patrekur	pʰ aː t r ɛ k ʏ r
paufast	pʰ œyː v a s t
pegasus	pʰ ɛː k a s ʏ s
peking	pʰ ɛː c i ŋ k
pela	pʰ ɛː l a
pelann	pʰ ɛː l a n
pelanum	pʰ ɛː l a n ʏ m
pelastikk	pʰ ɛː l a s t ɪ h k
pels	pʰ ɛ l s
pelsinum	pʰ ɛ l s ɪ n ʏ m
pen	pʰ ɛː n
pening	pʰ ɛː n i ŋ k
peninga	pʰ ɛː n i ŋ k a
peningana	pʰ ɛː n i ŋ k a n a
peninganna	pʰ ɛː n i ŋ k a n a
peningaskápinn	pʰ ɛː n i ŋ k a s k auː p ɪ n
peningaþvætti	pʰ ɛː n i ŋ k a θ v ai h t ɪ
peningi	pʰ ɛː n i ɲ c ɪ
peningur	pʰ ɛː n i ŋ k ʏ r
peningurinn	pʰ ɛː n i ŋ k ʏ r ɪ n
penn	pʰ ɛ t n̥
penna	pʰ ɛ t n a
pennanum	pʰ ɛ n a n ʏ m
pennar	pʰ ɛ n a r
penni	pʰ ɛ t n ɪ
pennum	pʰ ɛ n ʏ m
pens	pʰ ɛ n s
pensilín	pʰ ɛ n s ɪ l i n
pensla	pʰ ɛ n s t l a
penslar	pʰ ɛ n s t l a r
pensli	pʰ ɛ n s t l ɪ
penslinum	pʰ ɛ n s t l ɪ n ʏ m
penslum	pʰ ɛ n s t l ʏ m
pensluð	pʰ ɛ n s t l ʏ ð
pent	pʰ ɛ n̥ t
pentagon	pʰ ɛ n̥ t a k ɔ n
pepsíi	pʰ ɛ p s i j ɪ
per	pʰ ɛː r
peran	pʰ ɛː r a n
perla	pʰ ɛ r t l a
perlan	pʰ ɛ r t l a n
perlaði	pʰ ɛ r t l a ð ɪ
perlu	pʰ ɛ r t l ʏ
perluhvítan	pʰ ɛ r t l ʏ kʰ v iː t a n
perlunni	pʰ ɛ r t l ʏ n ɪ
perlur	pʰ ɛ r t l ʏ r
perlurnar	pʰ ɛ r t l ʏ t n a r
perlusaumur	pʰ ɛ r t l ʏ s œyː m ʏ r
perra	pʰ ɛ r a
persaflóa	pʰ ɛ r̥ s a f l ouː a
persóna	pʰ ɛ r̥ s ou n a
persónan	pʰ ɛ r̥ s ou n a n
persónanna	pʰ ɛ r̥ s ou n a n a
persónu	pʰ ɛ r̥ s ou n ʏ
persónulegan	pʰ ɛ r̥ s ou n ʏ l ɛ ɣ a n
persónulegir	pʰ ɛ r̥ s ou n ʏ l ei j ɪ r
persónulegum	pʰ ɛ r̥ s ou n ʏ l ɛ ɣ ʏ m
persónum	pʰ ɛ r̥ s ou n ʏ m
persónuna	pʰ ɛ r̥ s ou n ʏ n a
persónunnar	pʰ ɛ r̥ s ou n ʏ n a r
persónunni	pʰ ɛ r̥ s ou n ʏ n ɪ
persónunum	pʰ ɛ r̥ s ou n ɔ n ʏ m
persónur	pʰ ɛ r̥ s ou n ʏ r
persónurnar	pʰ ɛ r̥ s ou n ʏ t n a r
persónuverndar	pʰ ɛ r̥ s ou n ʏ v ɛ n t a r
peru	pʰ ɛː r ʏ
perum	pʰ ɛː r ʏ m
perunni	pʰ ɛː r ʏ n ɪ
perur	pʰ ɛː r ʏ r
perú	pʰ ɛː r u
perúönsku	pʰ ɛː r u œ n s k ʏ
pesetar	pʰ ɛː s ɛ t a r
pest	pʰ ɛ s t
pestir	pʰ ɛ s t ɪ r
petersen	pʰ ɛː t ɛ r̥ s ɛ n
petra	pʰ ɛː t r a
petru	pʰ ɛː t r ʏ
petrína	pʰ ɛː t r i n a
petrínhæð	pʰ ɛː t r i n h aiː ð
peysa	pʰ eiː s a
peysan	pʰ eiː s a n
peysu	pʰ eiː s ʏ
peysuna	pʰ eiː s ʏ n a
peysunni	pʰ eiː s ʏ n ɪ
peysur	pʰ eiː s ʏ r
peð	pʰ ɛː ð
peði	pʰ ɛː ð ɪ
peðið	pʰ ɛː ð ɪ ð
pi	pʰ iː
pikkaði	pʰ ɪ h k a ð ɪ
pikköpp	pʰ ɪ h k œ h p
pilla	pʰ ɪ l a
pillu	pʰ ɪ l ʏ
pillunnar	pʰ ɪ l ʏ n a r
pillunni	pʰ ɪ l ʏ n ɪ
